Entity,Code,Year,Coal,Gas,Oil
Algeria,DZA,1965,0.8141,7.4305,15.40525194
Algeria,DZA,1966,0.79084,7.71925,20.27270528
Algeria,DZA,1967,0.60476,7.48825,18.94203111
Algeria,DZA,1968,0.63965,7.87325,20.16730139
Algeria,DZA,1969,0.8141,10.3516875,21.30593
Algeria,DZA,1970,0.96529,9.730875,24.34768083
Algeria,DZA,1971,0.26749,11.0495,27.44005028
Algeria,DZA,1972,0.2326,12.830125,30.12141417
Algeria,DZA,1973,0.26749,17.8591875,32.900345
Algeria,DZA,1974,0.22097,20.6745,36.54384083
Algeria,DZA,1975,0.27912,28.49,40.6306675
Algeria,DZA,1976,0.54661,33.6875,46.7177325
Algeria,DZA,1977,0.70943,35.90125,52.80649361
Algeria,DZA,1978,0.36053,57.65375,54.60794472
Algeria,DZA,1979,0.83736,81.52375,65.31861722
Algeria,DZA,1980,0.74432,109.43625,66.20243
Algeria,DZA,1981,0.52335,142.2575,71.32307278
Algeria,DZA,1982,9.71105,161.41125,75.57341778
Algeria,DZA,1983,8.66435,176.715,84.89242111
Algeria,DZA,1984,9.60638,155.25125,94.00200639
Algeria,DZA,1985,10.02506,153.8075,96.55380306
Algeria,DZA,1986,10.29255,168.4375,98.02125417
Algeria,DZA,1987,12.30454,172.2875,99.10052389
Algeria,DZA,1988,11.57185,194.13625,99.17259861
Algeria,DZA,1989,9.78083,182.6825,103.9366611
Algeria,DZA,1990,7.66417,195.09875,111.8116158
Algeria,DZA,1991,7.9084,192.6925,110.6277861
Algeria,DZA,1992,9.39704,198.94875,111.2926556
Algeria,DZA,1993,7.65254,178.54375,110.7548767
Algeria,DZA,1994,7.2106,188.16875,106.0508958
Algeria,DZA,1995,7.2106,202.22125,103.1422828
Algeria,DZA,1996,3.39596,207.7075,98.42207972
Algeria,DZA,1997,5.95456,194.04,97.64341944
Algeria,DZA,1998,6.37324,200.68125,100.6587481
Algeria,DZA,1999,6.82681,205.10875,98.89834583
Algeria,DZA,2000,5.64055,191.0129375,103.1324797
Algeria,DZA,2001,6.5128,197.322125,106.7753339
Algeria,DZA,2002,8.54805,194.838875,118.3972297
Algeria,DZA,2003,7.04778,205.9316875,123.1741181
Algeria,DZA,2004,8.40849,211.8991875,128.7468303
Algeria,DZA,2005,6.90822,223.559875,134.2133849
Algeria,DZA,2006,10.25766,228.4975,139.8457208
Algeria,DZA,2007,8.80391,233.8068145,156.3899965
Algeria,DZA,2008,8.80391,244.041875,169.9158964
Algeria,DZA,2009,5.65218,262.117625,180.1344294
Algeria,DZA,2010,3.6053,253.27225,180.048855
Algeria,DZA,2011,3.19825,267.969625,192.2276531
Algeria,DZA,2012,3.39596,298.74075,204.3952678
Algeria,DZA,2013,1.83754,321.215125,213.576385
Algeria,DZA,2014,2.08177,360.91825,221.9251528
Algeria,DZA,2015,1.54679,379.225,236.1484833
Algeria,DZA,2016,0.56987,385.9625,229.4410393
Algeria,DZA,2017,2.11666,388.85,225.3893039
Algeria,DZA,2018,2.11666,427.35,228.1965042
Argentina,ARG,1965,8.455049187,41.234,260.1392938
Argentina,ARG,1966,6.971818299,44.6572,268.564802
Argentina,ARG,1967,7.840396989,46.69945,275.1866263
Argentina,ARG,1968,7.619035275,51.999575,281.0074773
Argentina,ARG,1969,9.122169996,51.805075,291.9817539
Argentina,ARG,1970,11.72259838,58.5445,262.1598021
Argentina,ARG,1971,10.27754203,63.202775,279.97511
Argentina,ARG,1972,8.651294899,70.924425,280.3572517
Argentina,ARG,1973,9.496521979,80.707775,281.3179053
Argentina,ARG,1974,11.82592186,85.4244,282.3039697
Argentina,ARG,1975,11.51094029,87.525,265.9402667
Argentina,ARG,1976,11.64258521,98.51425,276.2617031
Argentina,ARG,1977,11.00850308,102.8905,291.2396456
Argentina,ARG,1978,13.41919536,100.07025,291.2290322
Argentina,ARG,1979,12.50167383,102.8905,308.0486372
Argentina,ARG,1980,11.14458963,112.12925,288.2583256
Argentina,ARG,1981,10.56046721,117.18625,267.2337128
Argentina,ARG,1982,10.66607615,133.13525,256.3210303
Argentina,ARG,1983,9.679963225,143.152,260.9379081
Argentina,ARG,1984,7.185223694,152.39075,245.9877603
Argentina,ARG,1985,10.59960576,155.69725,222.503685
Argentina,ARG,1986,12.10934933,168.2425,255.5804422
Argentina,ARG,1987,13.43967278,168.33975,272.7829917
Argentina,ARG,1988,13.77234964,196.6395,272.0292644
Argentina,ARG,1989,14.90276818,206.559,246.7896619
Argentina,ARG,1990,12.26613219,197.32025,233.4430894
Argentina,ARG,1991,10.79401248,200.9185,240.5023356
