DATA:ym ,DATA:avg_price_per_kg,DATA:low_price_per_kg,DATA:hig_price_per_kg
2009 12,7929.842263,7783.644186,8076.262987
2010 01,6165.398248,6129.662924,6199.619699
2010 02,9840.438859,9778.83192,9900.473267
2010 03,11000.56403,10937.40278,11060.04296
2010 04,12709.79574,12401.2045,12996.63733
2010 05,10253.43168,9992.652659,10496.09818
2010 06,8318.87576,8167.011353,8464.192335
2010 07,11923.70425,11776.19078,12070.17058
2010 08,12670.81987,12564.30425,12783.29863
2010 09,15322.55783,15145.09433,15497.02071
2010 10,13756.76057,13648.36553,13863.70179
2010 11,13766.5677,13590.31188,13932.61254
2010 12,16829.64219,16768.23447,16887.39569
2011 01,11014.86738,10948.06575,11060.73479
2011 02,14098.29446,13999.64621,14188.39027
2011 03,13775.64178,13576.27874,13944.40893
2011 04,10851.93365,10641.76997,11041.34206
2011 05,7187.420905,7041.275442,7339.927475
2011 06,8790.525356,8615.398786,8990.668696
2011 07,13955.03146,13776.57241,14122.82861
2011 08,15856.1877,15579.0269,16089.44903
2011 09,19965.54357,19681.43182,20198.39285
2011 10,16339.52828,16230.21301,16436.14402
2011 11,15508.03056,15322.23948,15689.43459
2011 12,11186.55724,10666.24359,11656.27932
2012 01,9697.500226,9575.160136,9878.268645
2012 02,9624.097406,9545.911858,9697.297312
2012 03,7662.076909,7574.352338,7746.830335
2012 04,10568.90446,10399.83071,10732.90265
2012 05,11962.81833,11847.30903,12073.75811
2012 06,13337.61284,13131.82052,13525.30137
2012 07,17830.15374,17594.98467,18061.1548
2012 08,24968.44171,24622.02194,25367.32217
2012 09,19696.24384,19370.49623,19951.23167
2012 10,33045.61728,32732.60687,33350.25172
2012 11,27466.8331,27272.10255,27654.07347
2012 12,20731.72042,20687.43589,20774.21322
2013 01,28483.69653,28277.18018,28756.11563
2013 02,32573.44658,32475.16056,32680.886
2013 03,35887.93848,35830.0214,35933.6436
2013 04,23709.71606,23587.47288,23803.79697
2013 05,12600.42799,12460.77823,12721.22697
2013 06,5390.74049,5342.592297,5430.670238
2013 07,8066.177479,8000.999433,8125.180646
2013 08,5367.109412,5282.185886,5438.984575
2013 09,5857.851252,5795.846786,5914.84953
2013 10,8791.850913,8724.514172,8850.334797
2013 11,6944.478891,6869.490054,7009.795494
2013 12,7274.170959,7224.164144,7319.726445
2014 01,12593.82385,12555.75031,12627.95601
2014 02,13270.91327,13213.86531,13326.43516
2014 03,11114.39483,11071.96882,11165.24877
2014 04,7130.824864,7071.598601,7183.508469
2014 05,4409.63169,4265.979915,4545.642668
2014 06,4540.601518,4416.413724,4653.877823
2014 07,7969.798443,7886.210312,8069.397185
2014 08,3978.895343,3879.662955,4130.435858
2014 09,6605.758895,6503.482342,6706.253037
2014 10,5557.589787,5499.459978,5619.68036
2014 11,5711.666357,5668.772266,5751.669273
2014 12,6578.087793,6524.598302,6632.465461
2015 01,6876.588627,6761.510829,6955.805883
2015 02,6996.503027,6915.76825,7062.552419
2015 03,6317.483799,6258.373256,6378.204431
2015 04,7524.942114,7437.165169,7605.785997
2015 05,5868.883993,5713.522927,6016.613527
2015 06,5231.846042,5121.399389,5338.111483
2015 07,7477.905602,7323.893937,7644.40437
2015 08,10412.80395,10289.24052,10527.58389
2015 09,10689.11352,10523.23775,10851.72262
2015 10,13975.68363,13717.62881,14208.14364
2015 11,11267.68243,11207.36854,11317.69831
2015 12,16707.42639,16547.36537,16842.85326
2016 01,17235.67938,17164.26955,17305.84794
2016 02,14977.55957,14707.4625,15240.58815
2016 03,13766.74623,13537.32877,14012.15955
2016 04,7277.341925,7133.431651,7409.584798
2016 05,6223.765343,5955.543545,6570.055541
2016 06,4281.379874,4107.907821,4461.595558
2016 07,7201.735219,7000.472982,7419.917798
2016 08,6564.938553,6402.727411,6740.051114
2016 09,5720.586019,5467.93459,6047.592621
2016 10,7467.149681,7371.014013,7558.18863
2016 11,11432.70604,11390.97217,11468.50317
2016 12,11124.18185,11100.89567,11143.61237
